cell,cond,bucket,n,dates,mean5,t5,hit,mean10,t10,train_t,test_t,test_mean,base_mean,confirmed
donchian20_up/confirmed,price,$2-10,1358,410,-0.07965831359328254,-0.1856506029190584,0.4587628865979381,0.06153234864326704,0.8337152479460092,0.48211355726218746,-1.2342094707254128,-0.5013042562919364,-0.0724265031392389,False
donchian20_up/confirmed,price,>$10,1026,356,-0.2070915828526291,-0.9456929323950442,0.4746588693957115,-0.5324957338550463,-1.027181503716201,-0.5782368978556902,-0.756355223710155,-0.15681760190066757,-0.0724265031392389,False
donchian20_up/confirmed,vs_ema20,above,2683,457,-0.0724265031392389,0.7036092029402045,0.4670145359672009,-0.07371629450097718,1.060062031357927,1.300300177003551,-0.6872093769712929,-0.32441231542984855,-0.0724265031392389,False
donchian20_up/confirmed,mkt20,mkt flat,1768,320,0.11506861850441913,1.2777039604227416,0.4762443438914027,0.12537171416897147,1.6483227639989613,1.240920784745192,0.42418996513491536,-0.08331215009172209,-0.0724265031392389,False
donchian20_up/forming,vol_ratio,1-2x,2888,478,-0.2259609892630841,-0.6159636775968775,0.4525623268698061,-0.2753310460709175,-0.454226815123369,0.949362955941923,-2.055595759017929,-0.6350912240520439,-0.15377640076390456,False
donchian20_up/forming,vol_ratio,2-3x,629,316,0.3492080393382303,1.1569491375433578,0.4944356120826709,0.18194385089828727,0.4064785185046812,1.7411639082765773,-0.49456077601360143,-0.005365112784999082,-0.15377640076390456,False
donchian20_up/forming,rsi,45-55,654,320,-0.3070132323468843,-1.1691356559702377,0.43577981651376146,-0.719715844160915,-1.3246839196861055,-1.4919615585076569,0.0814485890108698,-0.027060195366984622,-0.15377640076390456,False
donchian20_up/forming,rsi,55-70,2547,476,-0.2544203102284247,-0.8667162889912008,0.4601491951315273,-0.1114115576518578,0.4443541959908883,0.6596932668972628,-2.147817730676302,-0.698354752083079,-0.15377640076390456,False
donchian20_up/forming,rsi,>70,555,281,0.6311596603829289,2.1810962110369028,0.5117117117117117,0.30883415665429387,0.8265399905180928,2.904442937041363,0.2053575014375334,0.19983314272655656,-0.15377640076390456,False
donchian20_up/forming,atr_pct,high,992,397,-0.09649594548223063,0.30632654935064896,0.46774193548387094,0.39713727992581616,1.791815119515264,1.4445282652119094,-1.3946148058036372,-0.8276409479663845,-0.15377640076390456,False
donchian20_up/forming,atr_pct,low,1521,399,-0.3088807948188988,-2.682910506279434,0.43852728468113084,-0.5511748435286827,-3.500617669263194,-2.9439161442290067,-0.7137444123694411,-0.28175399203749146,-0.15377640076390456,False
donchian20_up/forming,atr_pct,mid,1296,409,-0.015588459623298393,0.1281202901268485,0.4845679012345679,-0.17578753459175844,-0.9632213989083896,0.8823210136570696,-0.94351269165592,-0.33792261498465803,-0.15377640076390456,False
donchian20_up/forming,price,$2-10,1936,455,-0.20394990414161993,-0.7212387170457053,0.452995867768595,-0.21549747147681864,-0.6317508870221218,0.29995017057803597,-1.410371027569705,-0.5650550921085048,-0.15377640076390456,False
donchian20_up/forming,price,>$10,1401,420,-0.28443310810538347,-2.3472190590582107,0.4725196288365453,-0.40678687960594406,-2.0671159781342263,-1.1707906043965641,-2.1908150456408886,-0.4656463895250865,-0.15377640076390456,False
